id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V001156,38-XD-57,Tesla,Model 3,Elétrico,5,2021,100% Elétrico,46000,26600,2023-11-28,,,Braga
V001157,17-VW-53,BMW,Série 1,Hatchback,5,2019,Gasolina,65000,11400,2023-11-27,,,Braga
V001158,25-MX-38,BMW,Série 1,Hatchback,5,2016,Gasóleo,82000,8300,2023-11-28,9700,2024-02-28,Braga
V001159,25-RB-87,Renault,Zoe,Elétrico,5,2022,100% Elétrico,26000,16600,2023-11-03,,,Braga
V001160,15-NB-19,Peugeot,3008,SUV,5,2020,Gasóleo,47000,15000,2023-11-22,,,Braga
V001161,62-YR-77,Hyundai,Kona,SUV,5,2019,Híbrido a Gasolina,56000,13500,2023-11-17,,,Braga
V001162,86-QA-41,Mercedes,GLA,SUV,5,2022,Gasolina,30000,22300,2023-11-27,25100,2024-01-06,Braga
V001163,89-VG-60,Nissan,Qashqai,SUV,5,2018,Gasóleo,94000,10000,2023-11-16,11700,2024-03-13,Braga
V001164,47-HH-60,Tesla,Model 3,Elétrico,5,2021,100% Elétrico,22000,30600,2023-11-05,32800,2024-01-29,Braga
V001165,45-KK-63,Nissan,Qashqai,SUV,5,2015,Gasolina,127000,8000,2023-11-05,8700,2023-12-05,Braga
