id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V001185,59-BF-82,BMW,Série 1,Hatchback,5,2022,Gasolina,37000,15800,2024-02-12,,,Braga
V001186,68-HC-26,Fiat,500,Citadino,4,2023,Híbrido a Gasolina,35000,11500,2024-02-09,12500,2024-04-10,Braga
V001187,36-FV-23,Nissan,Qashqai,SUV,5,2020,Híbrido a Gasolina,78000,11400,2024-02-06,12700,2024-03-09,Braga
V001188,34-GO-19,Volkswagen,Tiguan,SUV,5,2017,Gasolina,87000,10000,2024-02-08,11100,2024-05-18,Braga
V001189,15-DN-45,Citroën,C3,Citadino,5,2021,Gasolina,57000,6800,2024-02-19,7400,2024-06-11,Braga
V001190,69-XZ-73,Mercedes,GLA,SUV,5,2021,Híbrido a Gasolina,50000,19800,2024-02-22,,,Braga
V001191,34-IQ-63,Volkswagen,Tiguan,SUV,5,2020,Gasóleo,79000,13800,2024-02-01,14800,2024-03-30,Braga
V001192,75-FR-97,Citroën,C3,Citadino,5,2017,Gasóleo,114000,4800,2024-02-16,5600,2024-04-30,Braga
V001193,25-OP-99,Seat,Arona,SUV,5,2022,Gasolina,23000,13000,2024-02-11,14400,2024-06-11,Braga
V001194,28-CV-31,Hyundai,Kona,SUV,5,2020,Gasolina,60000,13400,2024-02-29,14800,2024-03-12,Braga
