id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V001195,97-IM-82,Volkswagen,Golf,Hatchback,5,2018,Híbrido a Gasolina,95000,8200,2024-03-03,9600,2024-07-07,Braga
V001196,86-BR-85,BMW,X1,SUV,5,2020,Híbrido a Gasolina,52000,17500,2024-03-30,,,Braga
V001197,26-BK-14,Mercedes,Classe A,Hatchback,5,2018,Gasóleo,100000,10200,2024-03-20,,,Braga
V001198,48-TK-88,Mercedes,Classe A,Hatchback,5,2018,Gasóleo,100000,10100,2024-03-27,11500,2024-06-21,Braga
V001199,66-CL-32,BMW,Série 1,Hatchback,5,2020,Híbrido a Gasolina,66000,12300,2024-03-10,14100,2024-03-31,Braga
V001200,67-IM-19,Fiat,500,Citadino,4,2022,Gasolina,51000,8800,2024-03-16,,,Braga
V001201,83-NQ-73,BMW,X1,SUV,5,2019,Gasolina,73000,13500,2024-03-15,,,Braga
V001202,33-VU-40,Volkswagen,Tiguan,SUV,5,2017,Híbrido a Gasolina,88000,11100,2024-03-11,12300,2024-03-23,Braga
V001203,13-VD-31,Mercedes,Classe A,Hatchback,5,2020,Híbrido a Gasolina,59000,13700,2024-03-22,15500,2024-07-28,Braga
V001204,88-JF-91,Fiat,500,Citadino,4,2021,Híbrido a Gasolina,46000,9200,2024-03-11,9900,2024-05-12,Braga
V001205,83-DK-61,Kia,Niro,SUV,5,2019,Híbrido a Gasolina,80000,12400,2024-03-24,14000,2024-05-24,Braga
V001206,83-FM-85,BMW,X1,SUV,5,2021,Híbrido a Gasolina,59000,19400,2024-03-11,21500,2024-06-18,Braga
