id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V001052,75-NU-91,Mercedes,Classe A,Hatchback,5,2016,Gasolina,66000,10100,2022-11-15,,,Braga
V001053,15-LI-60,Fiat,500,Citadino,4,2021,Gasolina,23000,10600,2022-11-25,12200,2023-01-13,Braga
V001054,70-QP-59,Peugeot,208,Citadino,5,2019,100% Elétrico,48000,11800,2022-11-11,,,Braga
V001055,98-PK-78,Nissan,Leaf,Elétrico,5,2016,100% Elétrico,90000,9100,2022-11-19,10000,2023-03-31,Braga
V001056,51-HS-34,Peugeot,208,Citadino,5,2019,Gasolina,54000,9000,2022-11-09,,,Braga
V001057,98-JG-97,Nissan,Qashqai,SUV,5,2016,Híbrido a Gasolina,93000,10300,2022-11-17,11900,2023-01-03,Braga
V001058,91-HG-86,Mercedes,Classe A,Hatchback,5,2017,Gasolina,54000,11900,2022-11-07,,,Braga
V001059,68-RK-28,Renault,Zoe,Elétrico,5,2018,100% Elétrico,56000,11700,2022-11-06,,,Braga
V001060,73-OR-84,BMW,X1,SUV,5,2016,Gasóleo,56000,13300,2022-11-13,,,Braga
V001061,27-FD-56,Seat,Ibiza,Citadino,5,2019,Gasóleo,63000,7400,2022-11-09,8100,2023-02-28,Braga
V001062,97-NG-15,Kia,Niro,SUV,5,2019,100% Elétrico,36000,19300,2022-11-03,,,Braga
V001063,55-HE-12,Citroën,C3,Citadino,5,2015,Gasolina,94000,4400,2022-11-11,5200,2023-01-30,Braga
