id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V001175,68-YN-13,Seat,Arona,SUV,5,2023,Gasolina,13000,15600,2024-01-18,17700,2024-05-10,Braga
V001176,76-EV-81,Volkswagen,Tiguan,SUV,5,2020,Gasóleo,57000,14900,2024-01-18,17000,2024-05-01,Braga
V001177,82-TN-53,Nissan,Leaf,Elétrico,5,2022,100% Elétrico,43000,15400,2024-01-10,18000,2024-02-27,Braga
V001178,80-MS-58,Renault,Zoe,Elétrico,5,2022,100% Elétrico,36000,14800,2024-01-26,15900,2024-04-15,Braga
V001179,28-YG-77,Peugeot,208,Citadino,5,2023,100% Elétrico,29000,13700,2024-01-07,,,Braga
V001180,44-UB-13,Nissan,Qashqai,SUV,5,2019,Híbrido a Gasolina,82000,10900,2024-01-04,12700,2024-04-04,Braga
V001181,59-CB-24,Volkswagen,Tiguan,SUV,5,2021,Híbrido a Gasolina,56000,16900,2024-01-01,,,Braga
V001182,13-BC-58,Audi,A3,Sedan,5,2022,Gasolina,51000,15300,2024-01-03,,,Braga
V001183,66-UN-90,Fiat,500,Citadino,4,2019,Gasolina,54000,7000,2024-01-10,8200,2024-03-12,Braga
V001184,67-EX-61,Mercedes,Classe A,Hatchback,5,2019,Gasóleo,73000,11100,2024-01-09,12700,2024-02-04,Braga
