id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000955,55-CX-45,Renault,Clio,Citadino,5,2017,Gasóleo,88000,5700,2022-01-31,6100,2022-03-21,Braga
V000956,99-VJ-52,Kia,Niro,SUV,5,2017,Híbrido a Gasolina,69000,13200,2022-01-23,14500,2022-05-30,Braga
V000957,19-TC-77,Tesla,Model 3,Elétrico,5,2018,100% Elétrico,55000,22800,2022-01-17,25800,2022-04-30,Braga
V000958,61-SW-97,Volkswagen,Tiguan,SUV,5,2018,Gasóleo,63000,14900,2022-01-20,16000,2022-04-26,Braga
V000959,73-CF-43,Seat,Arona,SUV,5,2017,Gasolina,50000,8900,2022-01-23,10400,2022-05-25,Braga
V000960,17-VL-22,Peugeot,3008,SUV,5,2020,Híbrido a Gasolina,35000,17700,2022-01-21,20800,2022-02-17,Braga
V000961,32-GU-89,Kia,Niro,SUV,5,2019,Híbrido a Gasolina,46000,16500,2022-01-01,,,Braga
V000962,66-AT-14,Seat,Ibiza,Citadino,5,2018,GPL,64000,6500,2022-01-04,7300,2022-03-02,Braga
V000963,73-GT-29,Hyundai,Kona,SUV,5,2019,Híbrido a Gasolina,40000,16900,2022-01-04,19700,2022-02-27,Braga
V000964,56-EH-72,Hyundai,Kona,SUV,5,2017,Híbrido a Gasolina,82000,12400,2022-01-30,13600,2022-02-27,Braga
