id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000862,92-HE-73,Mercedes,GLA,SUV,5,2022,Gasóleo,39000,22200,2024-06-06,26000,2024-09-27,Porto
V000863,63-FF-60,Nissan,Qashqai,SUV,5,2018,Gasóleo,78000,9400,2024-06-11,10000,2024-10-24,Porto
V000864,26-SQ-59,Renault,Zoe,Elétrico,5,2023,100% Elétrico,14000,17800,2024-06-15,19200,2024-06-30,Porto
V000865,24-TZ-67,Mercedes,GLA,SUV,5,2020,Híbrido a Gasolina,46000,18300,2024-06-22,,,Porto
V000866,59-VC-29,Renault,Zoe,elétrico,5,2021,100% Elétrico,53000,12000,2024-06-23,13500,2024-10-21,Porto
V000867,68-LB-86,Mercedes,Classe A,Hatchback,5,2018,Gasóleo,85000,9300,2024-06-27,10800,2024-08-09,Porto
V000868,51-JU-14,Seat,Arona,SUV,5,2021,Gasolina,43000,10800,2024-06-11,11500,2024-10-07,Porto
V000869,45-LO-98,Seat,Ibiza,Citadino,5,2015,Gasolina,118000,3800,2024-06-24,4200,2024-11-09,Porto
V000870,20-KU-48,Hyundai,Kona,SUV,5,2019,Híbrido a Gasolina,47000,13300,2024-06-30,14700,2024-08-06,Porto
V000871,79-ZH-98,Mercedes,GLA,SUV,5,2023,Gasóleo,18000,26200,2024-06-09,29700,2024-09-06,Porto
V000872,96-JI-10,Seat,Ibiza,Citadino,5,2018,Gasóleo,92000,5200,2024-06-25,6100,2024-10-17,Porto
V000873,38-CT-46,Mercedes,GLA,SUV,5,2021,Híbrido a Gasolina,59000,18500,2024-06-05,21200,2024-06-21,Porto
V000874,66-EO-73,Mercedes,Classe A,Hatchback,5,2018,Gasolina,83000,10000,2024-06-14,11000,2024-09-21,Porto
V000875,90-PR-54,Tesla,Model 3,Elétrico,5,2021,100% Elétrico,47000,25300,2024-06-22,,,Porto
