id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000851,26-JB-58,BMW,Série 1,Hatchback,5,2021,Gasolina,62000,13300,2024-05-29,,,Porto
V000852,72-LS-56,Peugeot,3008,SUV,5,2017,Gasóleo,82000,8800,2024-05-11,9600,2024-09-12,Porto
V000853,97-ZJ-36,BMW,Série 1,Hatchback,5,2020,Gasolina,51000,12300,2024-05-21,13600,2024-09-21,Porto
V000854,90-FP-27,Kia,Niro,SUV,5,2018,Híbrido a Gasolina,68000,11500,2024-05-24,12900,2024-07-04,Porto
V000855,70-KK-92,Volkswagen,Golf,Hatchback,5,2017,Gasóleo,104000,7300,2024-05-22,7900,2024-06-05,Porto
V000856,70-HI-57,Peugeot,3008,SUV,5,2019,Gasolina,71000,10800,2024-05-06,12400,2024-09-06,Porto
V000857,61-SA-30,Citroën,C3,Citadino,5,2020,Gasolina,82000,5500,2024-05-02,6500,2024-07-21,Porto
V000858,49-ZY-28,Hyundai,Kona,SUV,5,2019,Híbrido a Gasolina,71000,11600,2024-05-31,13600,2024-06-25,Porto
V000859,41-EV-81,Seat,Ibiza,Citadino,5,2016,Gasolina,102000,4100,2024-05-01,4600,2024-07-04,Porto
V000860,95-MO-41,Renault,Clio,Citadino,5,2022,Gasóleo,46000,9200,2024-05-12,,,Porto
V000861,78-CL-72,BMW,X1,SUV,5,2021,Gasóleo,45000,19300,2024-05-25,21800,2024-09-22,Porto
