id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000813,46-FD-46,Nissan,Qashqai,SUV,5,2021,Gasolina,70000,12100,2024-02-05,13000,2024-05-07,Porto
V000814,80-QY-31,Volkswagen,Golf,Hatchback,5,2019,Híbrido a Gasolina,77000,10000,2024-02-10,10700,2024-03-29,Porto
V000815,83-NX-66,Hyundai,Kona,SUV,5,2019,Híbrido a Gasolina,59000,13400,2024-02-18,14700,2024-04-22,Porto
V000816,27-IX-95,Nissan,Leaf,Elétrico,5,2022,100% Elétrico,33000,15200,2024-02-10,16300,2024-04-29,Porto
V000817,50-BN-22,Nissan,Qashqai,SUV,5,2020,Gasolina,54000,12400,2024-02-26,14200,2024-03-27,Porto
V000818,85-MH-96,Tesla,Model 3,Elétrico,5,2023,100% Elétrico,33000,28800,2024-02-11,31400,2024-02-25,Porto
V000819,37-AN-18,Renault,Clio,Citadino,5,2019,Gasóleo,76000,6400,2024-02-06,,,Porto
V000820,94-FJ-39,Fiat,500,Citadino,4,2020,Híbrido a Gasolina,62000,8100,2024-02-02,9100,2024-05-13,Porto
V000821,67-KH-94,BMW,Série 1,Hatchback,5,2019,Gasolina,77000,9700,2024-02-21,10800,2024-05-16,Porto
V000822,72-TN-97,Volkswagen,Tiguan,SUV,5,2021,Híbrido a Gasolina,63000,15400,2024-02-22,,,Porto
V000823,43-BI-72,Nissan,Qashqai,SUV,5,2017,Gasóleo,99000,8700,2024-02-29,9700,2024-07-03,Porto
V000824,88-TK-26,Nissan,Qashqai,SUV,5,2018,Híbrido a Gasolina,84000,10200,2024-02-10,12000,2024-03-21,Porto
V000825,56-RG-30,Mercedes,GLA,SUV,5,2019,Gasóleo,83000,14400,2024-02-26,16200,2024-03-21,Porto
