id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000508,99-LZ-97,Peugeot,208,Citadino,5,2021,100% Elétrico,37000,13500,2022-01-02,15300,2022-04-03,Porto
V000509,40-JG-30,Hyundai,Kona,SUV,5,2021,Híbrido a Gasolina,21000,20500,2022-01-13,,,Porto
V000510,70-XN-52,Peugeot,208,Citadino,5,2018,100% Elétrico,44000,11000,2022-01-25,,,Porto
V000511,13-YB-92,Hyundai,Kona,SUV,5,2020,Híbrido a Gasolina,27000,18600,2022-01-27,20700,2022-05-02,Porto
V000512,93-YE-86,Peugeot,208,Citadino,5,2021,100% Elétrico,24000,14400,2022-01-05,15700,2022-02-26,Porto
V000513,35-CN-57,Tesla,Model 3,Elétrico,5,2019,100% Elétrico,43000,24000,2022-01-11,27700,2022-04-16,Porto
V000514,35-IW-31,Hyundai,Kona,SUV,5,2015,Híbrido a Gasolina,98000,10100,2022-01-29,11900,2022-03-04,Porto
V000515,68-VP-25,Fiat,500,Citadino,4,2021,Híbrido a Gasolina,29000,11200,2022-01-05,12900,2022-05-08,Porto
V000516,86-GJ-96,Volkswagen,Tiguan,SUV,5,2017,Híbrido a Gasolina,77000,12200,2022-01-27,,,Porto
V000517,70-EK-98,Volkswagen,Tiguan,SUV,5,2017,Híbrido a Gasolina,77000,12700,2022-01-01,13600,2022-05-10,Porto
