id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000779,46-HG-30,Hyundai,Kona,SUV,5,2019,Gasolina,69000,12400,2023-11-23,13800,2024-04-08,Porto
V000780,62-SR-19,Seat,Ibiza,Citadino,5,2016,GPL,79000,4300,2023-11-03,4700,2023-11-16,Porto
V000781,81-EZ-18,BMW,Série 1,Hatchback,5,2017,Híbrido a Gasolina,90000,9900,2023-11-24,10900,2024-03-05,Porto
V000782,47-IM-55,Peugeot,208,Citadino,5,2020,100% Elétrico,35000,11400,2023-11-19,12100,2024-02-23,Porto
V000783,79-WD-84,Hyundai,Kona,SUV,5,2018,Híbrido a Gasolina,86000,12300,2023-11-03,14000,2024-02-25,Porto
V000784,52-YV-17,Hyundai,Kona,SUV,5,2022,100% Elétrico,18000,22800,2023-11-01,24700,2023-12-18,Porto
V000785,88-CR-71,BMW,X1,SUV,5,2017,Híbrido a Gasolina,83000,12800,2023-11-29,14500,2024-03-26,Porto
V000786,17-AY-35,Peugeot,3008,SUV,5,2018,Gasóleo,79000,10700,2023-11-02,11400,2024-01-11,Porto
V000787,80-ED-66,Hyundai,Kona,SUV,5,2022,Híbrido a Gasolina,23000,21600,2023-11-24,24700,2024-03-25,Porto
V000788,78-SB-11,Fiat,500,Citadino,4,2021,Híbrido a Gasolina,31000,10400,2023-11-12,11300,2023-11-26,Porto
