id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000940,41-SP-38,Seat,Ibiza,Citadino,5,2019,Gasóleo,55000,6100,2024-12-27,,,Porto
V000941,15-TD-85,BMW,Série 1,Hatchback,5,2019,Gasóleo,89000,10100,2024-12-25,,,Porto
V000942,87-NM-15,Peugeot,208,Citadino,5,2023,Gasolina,23000,12600,2024-12-04,,,Porto
V000943,90-XY-65,Tesla,Model 3,Elétrico,5,2021,100% Elétrico,36000,26800,2024-12-28,,,Porto
V000944,42-LV-54,Mercedes,GLA,SUV,5,2020,Híbrido a Gasolina,56000,18100,2024-12-01,,,Porto
V000945,36-RY-80,Kia,Niro,SUV,5,2023,100% Elétrico,35000,21500,2024-12-26,,,Porto
V000946,39-KJ-22,Audi,A3,Sedan,5,2021,Híbrido a Gasolina,48000,15400,2024-12-25,,,Porto
V000947,72-LK-66,BMW,X1,SUV,5,2019,Gasolina,82000,12600,2024-12-20,,,Porto
V000948,60-TW-19,Audi,A3,Sedan,5,2020,Híbrido a Gasolina,62000,13900,2024-12-11,,,Porto
V000949,59-DX-47,BMW,X1,SUV,5,2019,Gasolina,74000,13100,2024-12-29,,,Porto
V000950,13-PH-98,Kia,Niro,SUV,5,2020,100% Elétrico,59000,14900,2024-12-08,,,Porto
V000951,63-RR-82,Peugeot,3008,SUV,5,2018,Gasóleo,65000,11100,2024-12-21,,,Porto
V000952,43-NL-56,Volkswagen,Tiguan,SUV,5,2017,Gasolina,91000,10200,2024-12-13,,,Porto
V000953,41-ZR-84,Kia,Niro,SUV,5,2023,100% Elétrico,22000,24300,2024-12-12,,,Porto
V000954,69-IS-16,Kia,Niro,SUV,5,2020,Híbrido a Gasolina,57000,13900,2024-12-17,,,Porto
