id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000891,82-UA-77,Renault,Clio,Citadino,5,2021,Gasolina,71000,7500,2024-08-08,8400,2024-11-19,Porto
V000892,17-OS-76,Tesla,Model 3,Elétrico,5,2023,100% Elétrico,20000,32100,2024-08-12,37800,2024-09-13,Porto
V000893,34-XC-26,Volkswagen,Golf,Hatchback,5,2020,Híbrido a Gasolina,59000,10700,2024-08-23,11500,2024-11-14,Porto
V000894,24-OC-70,BMW,X1,SUV,5,2018,Gasóleo,75000,13200,2024-08-19,14300,2024-09-18,Porto
V000895,34-SZ-91,Peugeot,208,Citadino,5,2021,Gasolina,51000,9800,2024-08-16,11300,2024-12-19,Porto
V000896,48-IR-41,Fiat,500,Citadino,4,2020,Gasolina,67000,6900,2024-08-25,8100,2024-11-17,Porto
V000897,32-CY-65,Tesla,Model 3,Elétrico,5,2022,100% Elétrico,24000,29000,2024-08-17,32500,2024-12-27,Porto
V000898,77-PD-97,Volkswagen,Tiguan,SUV,5,2017,Híbrido a Gasolina,78000,11100,2024-08-11,12200,2024-12-29,Porto
V000899,76-PU-86,Mercedes,Classe A,Hatchback,5,2019,Gasolina,75000,11000,2024-08-05,12100,2024-09-26,Porto
V000900,50-OJ-64,Renault,Zoe,Elétrico,5,2022,100% Elétrico,30000,14800,2024-08-09,17200,2024-11-19,Porto
