id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000544,47-WO-74,Tesla,Model 3,Elétrico,5,2016,100% Elétrico,76000,15800,2022-04-04,17000,2022-07-17,Porto
V000545,10-HZ-70,Nissan,Leaf,Elétrico,5,2018,100% Elétrico,42000,13000,2022-04-05,15000,2022-08-01,Porto
V000546,27-ZN-62,Citroën,C3,Citadino,5,2016,Gasolina,92000,4700,2022-04-12,5400,2022-08-09,Porto
V000547,50-MY-31,Hyundai,Kona,SUV,5,2019,Híbrido a Gasolina,40000,17000,2022-04-17,18200,2022-05-16,Porto
V000548,97-WR-48,Renault,Clio,Citadino,5,2019,Gasolina,55000,8200,2022-04-30,9100,2022-07-26,Porto
V000549,36-RT-89,Seat,Arona,SUV,5,2021,Gasolina,31000,13900,2022-04-12,15500,2022-08-05,Porto
V000550,26-QR-46,Mercedes,Classe A,Hatchback,5,2017,Híbrido a Gasolina,82000,10600,2022-04-26,12200,2022-08-15,Porto
V000551,24-XB-57,Citroën,C3,Citadino,5,2017,Gasolina,78000,5200,2022-04-11,6100,2022-08-09,Porto
V000552,84-SW-90,Citroën,C3,Citadino,5,2019,Gasolina,45000,7300,2022-04-25,,,Porto
V000553,41-DK-76,Renault,Zoe,Elétrico,5,2019,100% Elétrico,58000,12400,2022-04-08,13900,2022-07-25,Porto
V000554,67-CL-96,Renault,Zoe,Elétrico,5,2018,100% Elétrico,65000,10400,2022-04-12,11600,2022-05-27,Porto
V000555,63-FE-74,Peugeot,208,Citadino,5,2019,Gasóleo,52000,10200,2022-04-13,11700,2022-08-28,Porto
V000556,57-DT-62,Audi,A3,Sedan,5,2016,Gasóleo,81000,9800,2022-04-23,11500,2022-06-14,Porto
V000557,85-NB-49,Renault,Clio,Citadino,5,2016,Gasolina,81000,5300,2022-04-17,5700,2022-06-04,Porto
