id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000800,15-RW-39,BMW,X1,SUV,5,2018,Gasolina,66000,13000,2024-01-05,14700,2024-05-08,Porto
V000801,19-QO-24,Mercedes,Classe A,Hatchback,5,2022,Gasóleo,43000,16200,2024-01-09,17900,2024-03-21,Porto
V000802,62-UL-70,Peugeot,3008,SUV,5,2019,Gasóleo,83000,10300,2024-01-12,11300,2024-04-25,Porto
V000803,75-ZS-54,Nissan,Qashqai,SUV,5,2021,Gasolina,55000,12700,2024-01-12,14200,2024-04-13,Porto
V000804,38-SQ-83,Seat,Arona,SUV,5,2023,Gasolina,21000,14700,2024-01-19,17300,2024-02-19,Porto
V000805,83-JH-52,Mercedes,Classe A,Hatchback,5,2018,Gasolina,91000,9700,2024-01-04,10600,2024-04-06,Porto
V000806,55-RQ-19,Audi,A3,Sedan,5,2020,Gasolina,63000,12100,2024-01-15,13400,2024-05-10,Porto
V000807,96-SV-27,Peugeot,208,Citadino,5,2018,Gasóleo,95000,6500,2024-01-15,,,Porto
V000808,68-AF-25,Tesla,Model 3,Elétrico,5,2021,100% Elétrico,49000,25500,2024-01-11,29800,2024-03-13,Porto
V000809,77-MN-55,Audi,A3,Sedan,5,2016,Híbrido a Gasolina,112000,8500,2024-01-16,9100,2024-02-15,Porto
V000810,55-ON-90,BMW,Série 1,Hatchback,5,2022,Gasóleo,41000,15700,2024-01-10,16800,2024-02-02,Porto
V000811,10-SS-57,Nissan,Leaf,Elétrico,5,2019,100% Elétrico,71000,10400,2024-01-10,11200,2024-02-12,Porto
V000812,77-SQ-64,Volkswagen,Golf,Hatchback,5,2017,Gasóleo,82000,7400,2024-01-06,8300,2024-01-30,Porto
