id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000569,91-IY-67,Nissan,Leaf,Elétrico,5,2016,100% Elétrico,90000,9400,2022-06-07,,,Porto
V000570,10-AV-32,Audi,A3,Sedan,5,2017,Gasolina,57000,12400,2022-06-07,14000,2022-06-19,Porto
V000571,95-OV-25,Nissan,Leaf,Elétrico,5,2017,100% Elétrico,62000,10900,2022-06-23,12300,2022-07-24,Porto
V000572,66-AH-12,Renault,Zoe,Elétrico,5,2017,100% Elétrico,68000,10500,2022-06-27,12300,2022-10-11,Porto
V000573,14-IP-87,Tesla,Model 3,Elétrico,5,2020,100% Elétrico,34000,28900,2022-06-23,34000,2022-11-08,Porto
V000574,26-XC-26,Nissan,Qashqai,SUV,5,2019,Híbrido a Gasolina,60000,14200,2022-06-13,15200,2022-08-08,Porto
V000575,64-UV-93,BMW,Série 1,Hatchback,5,2014,Gasóleo,105000,8100,2022-06-17,8600,2022-10-23,Porto
V000576,63-RO-50,Hyundai,Kona,SUV,5,2019,100% elétrico ,52000,16800,2022-06-14,17900,2022-08-22,Porto
V000577,52-JC-90,Renault,Clio,Citadino,5,2020,GPL,50000,8100,2022-06-26,8800,2022-09-09,Porto
V000578,53-BK-76,Mercedes,GLA,SUV,5,2017,Híbrido a Gasolina,83000,15200,2022-06-01,16500,2022-10-12,Porto
V000579,58-KW-18,Hyundai,Kona,SUV,5,2018,Híbrido a Gasolina,65000,13700,2022-06-20,16000,2022-07-17,Porto
V000580,58-MD-89,BMW,X1,SUV,5,2018,Híbrido a Gasolina,50000,16700,2022-06-02,18300,2022-06-27,Porto
