id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000482,33-LM-64,Hyundai,Kona,SUV,5,2020,Híbrido a Gasolina,56000,14100,2024-11-28,,,Lisboa
V000483,81-XB-20,Peugeot,3008,SUV,5,2022,Gasóleo,33000,17000,2024-11-11,,,Lisboa
V000484,34-CZ-70,BMW,X1,SUV,5,2020,Gasóleo,73000,14600,2024-11-20,,,Lisboa
V000485,25-EM-61,Seat,Arona,SUV,5,2020,Gasolina,57000,9600,2024-11-01,,,Lisboa
V000486,25-HN-73,Kia,Niro,SUV,5,2018,Híbrido a Gasolina,71000,11500,2024-11-29,,,Lisboa
V000487,75-IE-68,Mercedes,Classe A,Hatchback,5,2019,Gasolina,85000,10900,2024-11-09,,,Lisboa
V000488,58-TV-51,Peugeot,3008,SUV,5,2021,Gasolina,34000,15100,2024-11-21,,,Lisboa
V000489,72-QI-79,Fiat,500,Citadino,4,2019,Gasolina,82000,6000,2024-11-03,,,Lisboa
V000490,66-OB-14,Hyundai,Kona,SUV,5,2023,Gasolina,20000,19300,2024-11-25,,,Lisboa
V000491,82-VP-94,Peugeot,208,Citadino,5,2022,100% Elétrico,30000,13500,2024-11-29,,,Lisboa
V000492,88-VL-46,Seat,Ibiza,Citadino,5,2020,Gasóleo,62000,6800,2024-11-18,,,Lisboa
V000493,53-MD-64,Mercedes,GLA,SUV,5,2021,Gasolina,60000,16400,2024-11-27,,,Lisboa
