id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000131,11-DN-27,Hyundai,Kona,SUV,5,2017,Gasolina,46000,12300,2022-10-31,13500,2023-03-12,Lisboa
V000132,67-YR-45,Audi,A3,Sedan,5,2020,Híbrido a Gasolina,47000,16500,2022-10-12,18300,2022-11-11,Lisboa
V000133,75-MQ-15,BMW,Série 1,Hatchback,5,2020,Gasolina,41000,15200,2022-10-05,16500,2022-11-22,Lisboa
V000134,50-FM-88,Volkswagen,Tiguan,SUV,5,2015,Gasolina,109000,9500,2022-10-16,,,Lisboa
V000135,96-DN-84,Seat,Arona,SUV,5,2017,Gasolina,73000,8400,2022-10-11,9300,2022-10-27,Lisboa
V000136,84-PF-77,Hyundai,Kona,SUV,5,2021,Híbrido a Gasolina,33000,20800,2022-10-21,23800,2022-12-30,Lisboa
V000137,36-NQ-88,BMW,Série 1,Hatchback,5,2019,Híbrido a Gasolina,36000,14400,2022-10-05,16000,2022-11-24,Lisboa
V000138,71-QM-50,Nissan,Leaf,Elétrico,5,2020,100% Elétrico,31000,15600,2022-10-24,,,Lisboa
V000139,34-HI-81,Seat,Ibiza,Citadino,5,2017,Gasóleo,102000,5900,2022-10-18,6700,2023-01-05,Lisboa
V000140,83-VR-58,Hyundai,Kona,SUV,5,2019,Híbrido a Gasolina,63000,14900,2022-10-25,16300,2023-01-15,Lisboa
V000141,93-IX-71,Renault,Clio,Citadino,5,2019,Gasóleo,61000,7400,2022-10-25,,,Lisboa
V000142,77-HU-39,Renault,Zoe,Elétrico,5,2017,100% Elétrico,47000,11100,2022-10-09,11800,2022-12-22,Lisboa
