id_viatura,matricula,marca,modelo,tipo_automovel,num_lugares,ano_viatura,combustivel,quilometragem,preco_aquisicao,data_entrada_stock,preco_venda,data_venda,stand
V000106,87-EI-16,Seat,Ibiza,Citadino,5,2016,GPL,101000,4900,2022-08-15,5700,2022-10-07,Lisboa
V000107,75-EN-21,Nissan,Leaf,Elétrico,5,2020,100% Elétrico,28000,15200,2022-08-18,16900,2022-11-07,Lisboa
V000108,57-HA-50,Seat,Arona,SUV,5,2019,Gasolina,34000,11400,2022-08-15,13400,2022-12-03,Lisboa
V000109,99-EY-70,Nissan,Leaf,Elétrico,5,2018,100% Elétrico,39000,12300,2022-08-21,,,Lisboa
V000110,25-BH-63,Mercedes,GLA,SUV,5,2020,Gasolina,49000,20200,2022-08-09,22000,2022-11-02,Lisboa
V000111,10-TL-40,Mercedes,Classe A,Hatchback,5,2017,Gasóleo,66000,11300,2022-08-27,12400,2022-10-14,Lisboa
V000112,70-BU-59,Nissan,Qashqai,SUV,5,2017,Híbrido a Gasolina,83000,11400,2022-08-17,12600,2022-09-03,Lisboa
V000113,55-RK-92,Seat,Arona,SUV,5,2019,Gasolina,39000,11600,2022-08-01,12500,2022-11-06,Lisboa
V000114,35-BZ-35,Renault,Zoe,Elétrico,5,2018,100% Elétrico,55000,10900,2022-08-15,11600,2022-12-22,Lisboa
V000115,52-ID-57,Renault,Clio,Citadino,5,2016,Gasolina,80000,5200,2022-08-13,6100,2022-09-06,Lisboa
V000116,64-CN-87,Citroën,C3,Citadino,5,2016,Gasolina,83000,5000,2022-08-31,5800,2022-11-19,Lisboa
V000117,54-OB-55,Nissan,Qashqai,SUV,5,2019,Gasolina,48000,13800,2022-08-04,15800,2022-09-27,Lisboa
V000118,28-TV-66,Citroën,C3,Citadino,5,2018,Gasóleo,65000,6400,2022-08-26,7500,2022-10-17,Lisboa
